rank,method,k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,min_cluster_size,max_cluster_size,noise_fraction,time_s
0,KMeans,2,0.7582,364.91,0.428,2,16,96,0.0,1.76
1,KMeans,3,0.6703,345.78,0.5614,3,10,90,0.0,0.04
2,KMeans,4,0.6341,281.23,0.6736,4,5,90,0.0,0.04
3,KMeans,6,0.2828,224.15,1.0983,6,5,56,0.0,0.04
4,KMeans,5,0.2826,248.99,1.1445,5,5,60,0.0,0.04
5,KMeans,7,0.2814,208.99,1.0735,7,4,55,0.0,0.04
6,KMeans,8,0.2753,198.27,1.0386,8,3,36,0.0,0.04
7,KMeans,9,0.2737,194.1,0.9172,9,1,50,0.0,0.04
8,KMeans,12,0.2719,189.82,0.9047,12,1,29,0.0,0.05
9,KMeans,14,0.2692,181.74,0.9196,14,1,22,0.0,0.06
10,KMeans,11,0.2672,194.06,0.8978,11,1,33,0.0,0.05
11,KMeans,16,0.2652,183.1,0.8791,16,1,22,0.0,0.07
12,KMeans,13,0.2625,188.57,0.9283,13,1,21,0.0,0.06
13,KMeans,20,0.2569,166.0,0.8101,20,1,21,0.0,0.08
14,KMeans,15,0.2566,183.72,0.939,15,1,23,0.0,0.07
15,KMeans,10,0.2527,191.43,0.9204,10,1,26,0.0,0.05
16,KMeans,19,0.2474,170.92,0.9789,19,1,20,0.0,0.08
17,KMeans,21,0.2367,166.48,0.7675,21,1,19,0.0,0.08
18,KMeans,17,0.2354,176.64,0.9686,17,1,18,0.0,0.08
19,KMeans,24,0.2338,156.46,0.8444,24,1,20,0.0,0.09
20,KMeans,18,0.2296,171.4,0.9276,18,1,24,0.0,0.08
21,KMeans,22,0.2285,160.62,0.88,22,1,17,0.0,0.07
22,KMeans,25,0.2023,156.48,0.8497,25,1,13,0.0,0.09
23,KMeans,23,0.2008,159.67,0.9074,23,1,18,0.0,0.08
