fold_id,model,split,n_rows,filtered_target_rows,prediction_floor,RMSPE,QLIKE,MSE
0,HAR,train,342813.0,333.0,0.0001,0.44641034215267983,0.048882257626380626,4.638603310547015e-07
0,HAR,test,85717.0,69.0,0.0001,0.4571964660491219,0.05094699084659147,4.66272992650153e-07
0,naive_last_2min,train,342813.0,333.0,0.0001,0.5148016019951218,0.07911736568745784,6.350547057781281e-07
0,naive_last_2min,test,85717.0,69.0,0.0001,0.5293928204918221,0.08350990603551797,6.553856274671367e-07
1,HAR,train,342830.0,312.0,0.0001,0.45005716357593023,0.04915245962494481,4.5688670703526805e-07
1,HAR,test,85700.0,90.0,0.0001,0.4421977636649811,0.04997594257584591,5.003001927953216e-07
1,naive_last_2min,train,342830.0,312.0,0.0001,0.5204039182125432,0.07956067788163518,6.319027136695121e-07
1,naive_last_2min,test,85700.0,90.0,0.0001,0.5070104099868749,0.08173737340606753,6.679987322543652e-07
2,HAR,train,342825.0,318.0,0.0001,0.4452707666479537,0.04917760673476806,4.6009710684684436e-07
2,HAR,test,85705.0,84.0,0.0001,0.46060909010565987,0.04988776343522634,4.849353854189907e-07
2,naive_last_2min,train,342825.0,318.0,0.0001,0.513095235141437,0.07977256660469746,6.366186184877502e-07
2,naive_last_2min,test,85705.0,84.0,0.0001,0.5359802891549146,0.0808896791646411,6.491327320279434e-07
3,HAR,train,342821.0,324.0,0.0001,0.45320590436806796,0.04942551783484732,4.624153325613699e-07
3,HAR,test,85709.0,78.0,0.0001,0.4297555537151212,0.04883866446002852,4.7593299901109235e-07
3,naive_last_2min,train,342821.0,324.0,0.0001,0.5233969767425635,0.08018680272943415,6.401751441814821e-07
3,naive_last_2min,test,85709.0,78.0,0.0001,0.4945350532246135,0.07923275502635235,6.349066676554166e-07
4,HAR,train,342848.0,304.0,0.0001,0.4460750989901031,0.048973760713308986,4.417597645813755e-07
4,HAR,test,85682.0,98.0,0.0001,0.4571666965971973,0.0507329271414129,5.556690465949332e-07
4,naive_last_2min,train,342848.0,304.0,0.0001,0.5139969993941653,0.07966191819480574,6.010332292373012e-07
4,naive_last_2min,test,85682.0,98.0,0.0001,0.532517828405645,0.081332727641841,7.915274865662299e-07
all,HAR,test_pooled,428513.0,419.0,0.0001,0.4495371208318334,0.05007643645326621,4.966178680774576e-07
mean,HAR,test_fold_mean,85702.6,83.8,0.0001,0.44938511402641634,0.05007645769182103,4.966221232940982e-07
std,HAR,test_fold_std,11.706408501329518,9.927738916792686,0.0001,0.01170064553765078,0.0007438576486781172,3.157770347302952e-08
all,naive_last_2min,test_pooled,428513.0,419.0,0.0001,0.5201401307913179,0.08134052511759012,6.797832870048292e-07
mean,naive_last_2min,test_fold_mean,85702.6,83.8,0.0001,0.519887280252774,0.08134048825488399,6.797902491942183e-07
std,naive_last_2min,test_fold_std,11.706408501329518,9.927738916792686,0.0001,0.016232191352585277,0.001379109840134402,5.687575036773537e-08
